id,date,country,rating,rating_count,plot
16,1991,Egypt,4.5,260,"Three criminal figures besieged the young man, Muntasir, for his transformation into a serial killer: the first praised the director of the workers' travel office to the Gulf with forged visas, where Montaser joined him and paid him to get money from the workers, and then Medhat poked a piece of hashish for Victor and reported him to the police to go to prison, and the second for Rajat Montaser's wife seduced her into prostitution in Turkey for her account, and the third was his old friend Saeed, who betrayed him and stole his money and reported him to the police."
17,2004,Egypt,4.05,679,"After long years in the reformatory after killing a policeman, Tito works in filthy operations for the corrupt police officer (Rifaat al-Sukari), but Tito soon realizes that he has a new opportunity to start over when he meets the businessman (Faris) who decides. He is involved in business, and (Noor) falls in love with her."
18,1970,Egypt,4.55,235,"In one of the Egyptian villages during 1933, the mayor informs the farmers that the share of irrigation of their lands has become equal between them and Mahmoud Bey, the feudal lord, but that the peasants revolt against these instructions, headed by Muhammad Abu Sweilem, and Muhammad Effendi proposes to submit a petition to the government, and travel to Cairo to meet Mahmoud Bey to present it."
19,2019,Egypt,4.1,540,"The events revolve around a place in a comic context about a place where some men decide to gather, and they call it (Secret Men's Club), where dentist Adham (Karim Abdel Aziz) helps a group of his male friends to join the club, after his relationship with his wife (Ghada Adel) escalates After a marriage that lasted for more than ten years, and she caught a big gap, she resorted to watching him all the time in comic ironies."
20,2005,Egypt,4.1,527,"A businessman is killed, and his wife is accused of killing him, so he hires a senior lawyer to defend him, and after he abandons her, she turns to a handsome lawyer who works in the office of that great lawyer. It also places the secretary of the dead man in the charge circle."
21,1988,Egypt,4.45,257,"Hisham (Ahmed Zaki), an officer in the mabahith, seems at first glance to be a kind, friendly person, or so his wife Mona (Mervat Amin) was deceived. Mona thinks that her husband is a good person, but after marriage she discovers his truth, as she discovers that he is unethical, bossy, and uses his authority as a police officer in every way."
22,2016,Egypt,3.85,1928,"Dr. Shukri Mukhtar (Majid Al-Kadwani), a psychologist, decides to give a final lecture, and through his last lecture, he answers one of the most important central questions, which is how love occurs. During his lecture, he explains the seven stages of love through four different love stories that go through many Turns and twists."
23,2006,Egypt,4.15,451,"Tariq works in a mobile phone company, to ask one of the customers to search for him for an address and shared data in the network, and Tariq hesitates to accept the offer, but he accepts after he is reprimanded by his boss because his sales are less than what is required of him, and he gets the girl's data, but he falls In love with her, this gets him into a number of problems."
24,1963,Egypt,4.4,269,"After Saladin's victory over the King of Jerusalem, a peace treaty is signed between them, but the commander of the Crusader army, Reno de Chatillon, slaughters a group of pilgrims going to Mecca. Saladin decides to take revenge. Then the King of England (Richard the Lionheart) and Richard agrees with the condition that he be at the head of the Crusaders."
25,2000,Egypt,4.35,281,"Yahya is a police officer and he is a perfect person to the highest ranks. He is assigned by the police to become corrupt in the underworld (the world of drug trade) and that as he was told to serve the nation, so he is assigned a strange mission called the Land of Fear. Yahya lives for years as a drug dealer, but then he discovers the disaster as the officers who put Yahya in this mission"
26,2012,Egypt,4.35,279,"The film monitors the suffering of Egyptians and their problems, through different stories and stories of the passengers of the train heading to Upper Egypt, which floundered between poverty, disease, unemployment and the suffering of immigration outside the country, until a painful accident occurs that everyone surpasses from a bloody coma."
27,2008,Egypt,4.05,519,"(Congratulations Abu El Alamein Hammouda) is a teacher in a rural country, which everyone fears because he is an example of firmness and discipline. Ramadan is forced by circumstances to work as a teacher in a private school that includes children of senior officials, and he knows that all students in the private school are related to a famous singer, so he decides to keep them away from her in his own way."
28,2008,Egypt,4.15,393,"A social comedy movie, which tells about street life in Cairo between 2007 and 2008 through a taxi driver who is exposed to daily troubles, comic paradoxes because of the taxi passengers, and his relationship with a girl he gets to know and tries to help, and at the same time his relationship with his brother who refuses to return home in search of About getting rich."
29,2018,Egypt,4.15,388,"Taha Hussein Al-Zahhar is a young man who works in a pharmacy, and lives with his father, the reckless who used to work as a history teacher, and one day Taha returns from his work to discover his father's murder in mysterious circumstances, and with time Taha discovers dark secrets that he did not know before about his father's life through his memoirs He left behind, which opens up for Taha a huge world of corruption and crime that he did not know existed."
30,1985,Egypt,4.4,245,"After Jamal failed in his studies, he decides to work as a singer in a popular troupe to revive the wedding, and his chemist brother Salah tries to convince Jamal to quit drugs, so he gives him a piece of hashish made in the factory from harmless fragrant materials and advises him to use it and present it to his friends instead of hashish, and the formula wins the admiration of a drug dealer. Salah falls in front of the temptation of money that comes after him because of his composition."
31,1982,Egypt,4.4,240,"Abdel-Tawab, a trader of perfumery known for his piety, travels to Alexandria to agree on a drug deal in which he pays his wealth and upon his return he is killed."
32,2007,Egypt,4.05,480,"The events of the film take place within the framework of a strong love story that arises between Taymour (Ahmed El-Sakka), who works in private guards for senior officials, and Shafiqa (Mona Zaki), who obtains a doctorate. Because of that post."
33,2010,Egypt,3.75,3561,"The film deals with the phenomenon of sexual harassment through the stories of three women belonging to different social classes: Faiza, who searches for justice in despair, and the wealthy woman, Saba, who works in jewelry design and is recovering after the severe assault she was subjected to, while the comedian brings Nelly to the anger of the public when She dares to file a sexual harassment case."
34,2011,Egypt,4.15,369,"(Arabic) A taxi driver who doesn't have anything but his son in this world, whose (grandfather) his wife's father tries to obtain custody rights after his daughter's death, but (Arab) refused that and obtained a custody court ruling, but the boy is kidnapped and (Arab) is assaulted This made him lose his memory, but when he returns home, he begins to remember some things, and from here the events begin."
35,2010,Egypt,4.15,368,"A famous forger, nicknamed (the consul), famous for his proficiency in forging passports, visas and sales contracts, but he falls into the hands of the police, and he had a major operation during which he put bars of gold in an unknown place, so the young forger (Essam) tries to deceive him when he tells him that he is his son. So that he gains his confidence and knows from him where the gold is."
36,2009,Egypt,4,541,"A joyful, withdrawn young man without any life experiences, he works as a veterinarian and loves a girl unilaterally. He meets a genie who wants to fulfill his dream to obtain his testimony. He gives him six opportunities to fulfill this dream and connect with the girl he loves through appearance, money, strength, manhood and keeping up with the times."
37,2005,Egypt,4,540,"(Hassan) is a poor young man, who finds himself being chased from more than one location and more than one place due to his having to steal, and while he is fleeing he rides a car with (Salma) fleeing from her stepfather, the newspapers appear the next day with a picture of (Salma) as a fugitive criminal with the young man who A corrupt officer accused him of killing one of his soldiers, even though he was the killer, so they had to run without stopping."
38,1982,Egypt,4.4,230,"Driver Hasan suffers from poor financial condition, so he is forced to work on a taxi as an overtime job, especially with the pressure of his wife, who refuses to have their financial situation deteriorated, and at the same time Hassan takes care of his family's problems after his father, Hajj Sultan, declares his bankruptcy, and does not find any of his sisters next to him during this ordeal Difficult."
39,2001,Egypt,4.2,306,"The film deals with the life story of the late President (Mohamed Anwar Sadat), tracing his life path from the beginning until his assassination on the stage, over a period of forty years full of personal and political challenges."
40,2006,Egypt,4,485,"Inside the famous Yacoubian Building located in downtown Cairo, paths and stories intersect between its residents of various affiliations, classes and ideological orientations, which in turn represent reflections of the great image of the homeland."
41,1984,Egypt,4.3,252,"Faris (Adel Imam) works in a shoe factory and lives in a room on the roof of a house after he separated from his wife because of his beating repeatedly, and he loves playing football (drinking) in the popular streets and squares in exchange for bets, which exposes him to dismissal from his work due to his severe negligence. To his wife, but she refuses to do so."
42,1967,Egypt,4.4,216,
43,2010,Egypt,4,467,"The events of the movie revolve around two friends, one of whom travels to a European country to get acquainted with a blind girl and falls in love with her, and when they return together to Egypt, he discovers that she is the same girl that his friend loves, and that she traveled to this country to search for a modern medical method that would help her regain her vision, and then it burned Flames between two friends."
44,1983,Egypt,4.4,212,"Lawyer (Spinach) tried to take advantage of his one-month imprisonment sentence for insulting the court in one of the cases, by establishing many relationships, most notably with the drug dealer Hassouna Muharram, and Salim Abu Zeid, one of the power centers in the sixties, to succeed in removing Hassouna Muharram from prison, and begins in Work with him, to escalate events."
45,1975,Egypt,4.5,185,"The film depicts real events, specifically in 1871, where a tribe called (Harbat) lives in Upper Egypt. This tribe is famous for excavating and selling pharaonic antiquities."
46,2010,Egypt,4.15,313,"Three brothers of the same father; But to different mothers, they are (Samir), a duplexer who works in cinema, and (Shahir) loves music and is known for his multiple female relationships, (Bahir) is the son of an aristocratic family."
47,2006,Egypt,4.05,387,"The movie revolves around a simple person who graduated from university and suffers from unemployment. During his work as a sales representative, he met a girl who asks him for help by claiming to be her husband in front of her wealthy family that resides in Upper Egypt."
48,2008,Egypt,4.05,383,"Mai Adel (Basma) translator, her first fiancé died in a traffic accident; This puts her in a spiral of intense sadness, and after a period of recovery, she enters into a new love affair with Yasser (Ahmed al-Fishawi), but after her association with him, she discovers a great repetition in the course of events with him as he was with her first fiancé, which puts her in a cycle of"
49,1976,Libya,4.6,160,"In the sixth century AD in Mecca, Muhammad (PBUH) is sending a messenger and after three years of mission, he recites what is revealed to him. Abu Sufyan and his wife Hind decide to stand against our master Muhammad, but the Messenger does not stop his calling, Muslims are tortured like our master Bilal and Ammar Ibn Yasser, just as our master Hamza bin Abdul Muttalib stands next to his uncle and declares his Islam."
50,1969,Egypt,4.5,178,"Atris is an innocent child who grows and matures to change his compassionate personality in an exact copy of his grandfather in his cruelty, cruelty, tyranny, and his dominance over the lives of the people of the village of Dahashneh with the terror imposed on them. Atris falls in love with Fouada from childhood, but she rejects him after he is saturated with the spirit and tyranny of his grandfather."
51,2012,Egypt,4.1,331,"The officer (Hamza) requests his transfer from the Central Security Agency to the Drug Enforcement Administration, after his brother was killed by (Suleiman al-Muslimi), hoping to arrest him and avenge his brother, so he watches his brother (Salem) the big drug dealer, after he smuggled (Suleiman) And fabricating an accusation against Hamza's wife, who insists on revenge."
52,1991,Egypt,4.3,231,"Hassan Behansi Bahloul calls the State Security Agency and talks to the officer to inform him about the timing of a fire that will happen in a factory the next day. When the officer asks how he knew this, Hassan informs him that he saw the accident in a dream."
53,2013,Egypt,4.2,267,
54,2010,Egypt,4,407,"The police resort to Hizkum to replace Adham, the right arm of Azzam, one of the largest drug dealers in Egypt, to trap him, taking advantage of the great similarity between them, and the mission is followed by Lieutenant Colonel Serraj and his cooperation, Jermaine, Azzam's secretary, until Azzam discovers the plan and the events follow."
55,1986,Egypt,4.25,236,
56,2019,Egypt,4.2,254,"The events revolve around the engineer (Yusef), whose brother tries to push him to marry, and in the meantime there is an accident for (Youssef) losing his sight, and by chance one day he collides with the girl (Jamila), who cares for him and takes care of him later, and relates to his love, but it seems that they will be subjected to a test Difficult, when each has to prove his love for the other."
57,2019,Egypt,4.05,331,"In the context of excitement and suspense, the film revolves around three friends (Omar Murr, Orabi, Rashid) who form a gang robbery on ships, called (Sea Attacks), who are assigned a dangerous mission against the mafia men, which is the robbery of a large consignment of diamonds, but (Orabi) He decides to carry out the operation for his own account, and flees to Morocco, so the settling of accounts and fierce battles begin."
58,2014,Egypt,4.05,322,"In the aftermath of the January 25 revolution and the prison break-in incidents that occurred during that period, Mansour Al-Hefni (Ahmed Al-Sakka), sentenced to death, escapes from prison, reunites with his brother (Fadl) and his son (Ali), and returns together to the island in order to recover what they lost despite his refusal The son therefore, and to achieve this goal, (Mansour) must stand in the face of his old sweetheart Karima (Hind Sabri), who became the eldest of her family, but they realize that the rules of the game have changed, especially with the appearance of the leader of the traveler Sheikh Jaafar (Khaled Saleh) in the picture."
59,2000,Egypt,4.05,322,"The principal (Ashour Salah al-Din) runs his school with the utmost severity and cruelty, and after he dies, his son (Salah al-Din) inherits it, who has failed in high school and has no experience, and leaves the responsibility to the corrupt agent (Syed) who runs it for his account, and one of the teachers notices that and does his best to guide ( Salah) for the path that guarantees his success in running the school."
60,2018,Egypt,4.1,287,"During the forties, a girl is raped by a group of English soldiers, then three Egyptian youths avenge her, one of them dies, and the live English soldier is detained in the Karmouz police station headed by General Yusef al-Masry, and General Adams demands that he be handed over to him, but Yusef refuses, and the general moves soldiers To besiege the police station."
61,1979,Egypt,4.25,218,"Before the 1967 setback in a public transport vehicle, a quarrel occurred between two passengers, Jaber and his neighbor Marzouq on one side, and the bus conductor, on the other hand. On this day, a group of political opponents are arrested. All detainees are transferred to one of the camps, with Jaber and Marzouq."
62,2007,Egypt,4.05,307,"(Ahmed) is accused of killing his parents, and he is placed in a clinic to examine his mental powers, and the doctor must submit his report to the court within 45 days, and Ahmed is silent and does not respond to the doctor, and the doctor tries to push (Ahmed) to speak before the prescribed period expires."
63,1995,Egypt,4.15,252,"Three lawyers friends, the fellowship gathered, and interests and whims separated between them. The first of them is Fathi Nofal, who turns from a committed lawyer to an opportunist who rises socially until he becomes the director of Minister Rushdie's office, while his colleague Ali Al-Zanati joins religious extremist groups to achieve financial gains by defending those who fall under the penalty of law The third, Mohsen, suffices to work as a simple employee in a company, and remains away from the ongoing conflict between the government and extremist groups."
64,1959,Egypt,4.4,171,"(Hanadi) works as a maid for the irrigation engineer, and she falls in love with that single engineer, but he attacks her and destroys her life. Hanadi is killed in front of her sister (Amna) by her uncle to purify her shame."
65,1983,Egypt,4.3,192,"Al-Sharnoubi is a businessman who trades in spoiled food, pushed by his greed and tyranny to agree with a young man to confess a crime instead of him and he is sentenced to imprisonment, and behind the doors of the cell he meets a prisoner named Fayza in a women's prison who fell in love with her and they exchanged feelings of love through letters. And they decide to take revenge on that greedy trader."
66,1983,Egypt,4.3,191,"Adel is a journalist in a major newspaper, witnessing one night the crime committed by Nashat Al-Kashef, son of well-known businessman Fahmi Al-Kashef, when a bar worker killed Morsi and wounded the dancer Nadia after she refused to stay overnight in his apartment."
67,1960,Egypt,4.4,168,"After the death of the father, the family consisting of a mother, two young men and a girl find themselves without a breadwinner, so that each of them begins to go to a different path, so that the older brother (Hassan) goes to work with drugs, and (Hussein) Al-Awsat graduates from the Police College, while (Nafisa) works in prostitution without knowledge Family, so fate has many surprises for them."
68,1988,Egypt,4.3,188,"Hind, a young widow who works in household service, meets with the light-blooded quorum feast who really loves her, then enters prison and leaves a fetus in her womb, as for Camellia, she is divorced, beautiful, who also works as a maid and relies on her unemployed brother, his wife and his children in exchange for being allowed to sleep in his apartment, and Camellia always rebels For its disgraceful condition."
69,2006,Egypt,4.1,257,"A group of young people, including the rich, the poor, the liberal and the religious, all of whom live a life full of turmoil, swinging between making a decision, implementing it and then canceling it with lightning speed. These young people try to achieve their dreams but are hindered by hesitation and many other things."
70,2002,Egypt,4.05,283,"(Hussein) a frustrated young Egyptian man, after his dismissal from the Military Academy, he travels abroad and falls into the clutches of the global mafia, then he is arrested and imprisoned in an Egyptian prison after the Egyptian intelligence orchestrated his kidnapping; This was to be used by him on a special mission with a group of intelligence officers and their recruits in exchange for a new opportunity to start over."
71,2019,Egypt,3.95,355,"After 3 years have passed since the end of the events of the first part, the four brothers try in various ways to preserve the pledge they made to stay away from the life of theft and crime, but one event that occurs in their lives changes all of that, introduces them into new worlds for them, and puts them in very dangerous confrontations with A number of professional criminals."
72,1998,Egypt,4.05,277,"Khalaf Al-Dahshouri (Mohamed Heneidy) is a senior student in high school who won the award to join the American University in Cairo. Her professor is at the university, and at the same time she is attracted to him (sovereignty), but he does not feel the same."
73,2003,Egypt,3.8,553,"A romantic comedy drama movie, which tells about the smallest details and mysteries in the lives of four friendly couples. The events of the film begin on the night when everyone gathers at the birthday party of someone's daughter, and on this night there are disagreements between husbands and their wives, as their emotional lives are very tense."
74,2018,Egypt,3.8,542,"The story revolves around Hamada (Akram Hosni) and Walid (Tamer Hosni), who were born on the same day, failing in life. Of events and problems."
75,2005,Egypt,3.8,535,"Zaki is a young man who has many problems, whether with his family members or in his work. He knows that his father's employer wants to appoint a bodyguard to guard his son and daughter, and decides to apply for the job despite his physical inadequacy for the job."
76,2009,Egypt,3.75,640,"(Ibrahim Al-Abyad) is a young child whose father is killed in front of his eyes by a big gang that deals in drugs, and the child grows and the image of his father's killing does not leave his imagination, wishing that time passes by him quickly to take revenge on the gang members, and on top of them their leader .. Years pass during which Ibrahim experiences a cruel and violent life Then, he starts approaching the desired gang to get revenge."
77,1986,Egypt,4.25,188,"Engineer Sharif, his wife Souad, their daughter Sarah and their son Hani and his mother reside in the accommodation shelters after the collapse of their house, and due to the inhuman standard of living in the shelters, they resort to the family yard and are surprised by the establishment of Abu Dumah in it, causing disagreement, then Sharif can design a caravan and stay in it, but he is subjected to harassment many."
78,2007,Egypt,3.85,428,The events of the movie revolve around a young man who has lost his memory and seeks to know his truth.
79,2008,Egypt,3.8,501,"An extremist religious group decides to carry out a terrorist operation in a large cabaret, sending one of its men to blow himself up in this cabaret, which includes newlyweds on the wedding night and night girls fleeing their families' homes, others who work in secret, a popular singer who benefits from a wealthy Arab and another who achieves his stardom inside the walls of this place."
80,1981,Egypt,4.15,216,"The thief Maher meets a prostitute Duck while he robs the apartment in which she is spending a red night, the police arrive and Maher clashes with the detective officer Tariq and hits him, removes his gun and runs away. Maher and a duck marry and decide to repent after they meet, Maher spends five years in prison after he popped the eye of his colleague Hammouda, who kidnapped the child Ali Ibn Maher as revenge for him and revenge for his eye .. Will Maher be able to return his son to his embrace and the embrace of his mother?"
81,2017,Egypt,3.8,496,"(Mahmoud) is in his late fifties, the owner of a library for photocopying and copying documents in the Abdo Basha neighborhood, one day while photographing documents, he finds a topic about dinosaurs to start his journey of obsession with searching for the causes of their extinction. This obsession with dinosaurs drives him to rediscover love, friendship, parenthood and the true meaning for life."
82,2017,Egypt,4,280,"(Saif) is a special operations officer, who combats a terrorist named (Marwan), and during this operation the special operations officer (Amr) is martyred, and (Saif) is injured as a result of a bomb exploding next to him, then (Saif) swears to return to avenge (Amr), and on another side he works The officer (Saber) is in the same file as this terrorist, so (Saif) goes to him to ask for his help."
83,1992,Egypt,4.25,182,"After being dismissed from the Public Prosecution Office for his misconduct, Mustafa Khalaf turns to the legal profession, and specializes in defending suspects and outlaws, taking advantage of his skill in familiarity with the loopholes of the law. His activity in compensation cases takes advantage of human suffering in material gain, until his only son finds the victim of a traffic accident. Things turn and events escalate."
84,1949,Egypt,4.25,182,"The work revolves around the (bathroom) teacher of the Arabic language who suffers from his misfortune, until the opportunity comes to be the tutor of the daughter of the Basha, the wealthy, his heart tends to her so that he can be able to him, knows that she is a victim of a young reckless, so he tries to save her from him, and uses an officer to help him in that. Events."
85,2017,Egypt,4,275,"In 1975, (Hassan Bishr) decides to return from Europe after studying Egyptology to the family home in Luxor, and discovers that his father (Bishr Al-Katatni) left a recorded will for him, and he left him papyri dating back to the reign of the Queen (Hatshepsut), and handwritten notes It is attributed to the hero (Ali Al-Zeebak), and (Hassan) to search for what links all of this together."
86,2011,Egypt,4.1,227,"Asmaa is a woman who suffers from HIV and decides not to surrender to him, so she wages a violent war against him, whether by seeking to cure herself or spreading hope in the hearts of all those affected by the dreaded disease, and slowly she is able to achieve many of her goals and the events follow."
87,2017,Egypt,4,274,"In the context of a romantic comedy thriller, the story of the movie revolves around a different framework from a successful and wealthy engineer named (Hussam El Khedaiwy), but he suffers recently from problems in his normal life and resorts to an alternative life through a new device that introduces him to the world of dreams."
88,1979,Egypt,4.25,179,"The film deals with the conditions of the residents of Alexandria during the period of the Second World War, in which the conditions of everyone were disturbed, and in the heart of this climate, Yahya Shukri Murad, a teenager who is fond of acting, who is trying to prove himself, thinks about traveling to America to study acting despite the difficult circumstances of his parents. All over Alexandria."
89,1968,Egypt,4.4,144,"Al-Busaji takes Abbas from Cairo to the village of Kom el-Nahl in Assiut governorate, to take charge of the post office in the village, and there he tries to familiarize himself with life there until he reaches him to snoop on the content of the messages."
90,2011,Egypt,3.8,439,"Majdi is an obese young man who suffers a lot from loneliness, despite his many friends who divide him with their problems, but his unnatural obesity makes them not think of him as a husband, until the opportunity comes when he communicates with (Dina) his girlfriend, whom he knew from childhood, and he tries to get close to her, but he He discovers that she has taken him as a case about the research she is doing at the university."
91,2015,Egypt,3.7,667,"The events of the film center around a girl from a popular neighborhood called Nawara (Menna Shalabi), who lives a love story with Ali (Prince of Salah al-Din) during the period during which the revolution of the twenty-fifth of January and after that, reviewing the impact of what was happening in Egypt during this period on Nawara And on her love story and her work as a maid in the villa of a former minister."
92,1958,Egypt,4.2,185,"(Kenawy) is a level-headed newspaper seller who is mentally unbalanced and works in the Cairo train station. Not being able to win her heart, which drives him into a foolish and crazy act."
93,1957,Egypt,4.35,152,"Haridi (Farid Shawqi) goes to the vegetable market in search of a job opportunity, and after many attempts, he finds a job with the teacher Abu Zayd (Zaki Rostum), who is considered the most powerful merchant in the entire market, and after a while, Haridi separates and marries the teacher Hasania (Tahiyya Karioka) ), And with her and with Muallem Abu Zeid's competitors, he forms an alliance against Abu Zaid, but as soon as Haridi's thorn in the market becomes stronger with their help from his wife and his partners, his situation will change for the worse."
94,2000,Egypt,4.05,231,"A cultural film tells the story of three young men (Fathi Abdel Wahab, Ahmed Rizk, and Ahmed Eid) who want to watch a cultural film (pornographic film) together. The events of the film revolve in a comic framework about their attempt to assemble the basic elements of viewing (film, video, and location), and the situations and paradoxes that happen to them during that."
95,2006,Egypt,3.75,507,"(Mimi) A young man residing in Ismailia, decides to travel to Cairo to find a job opportunity, and gets to know a businessman and his secretary (Mai) and his young daughter (Zina) when he rescued her from drowning to get closer to the family. Zeina) Will he succeed in protecting her?"
96,1993,Egypt,4.1,210,Youssef Al-Mansi is surprised by the girl (Ghada) who enters the transfer booth and asks for his protection. To find her and force her to return.
97,2007,Egypt,3.8,418,"The film revolves around the character of Omar (Karim Abdel Aziz). Omar's tragedy begins when he was a little boy, when Ali witnessed an exchange of fire between his father (Mahmoud al-Jundi) and the police forces, and although his father surrendered and left his weapon, he was sniped."
98,2018,Palestine,3.65,778,"The affaire of a married Palestinian man and a married Israeli woman in Jerusalem takes a dangerous political dimension when they are spotted in the wrong place at the wrong time, leaving them to deal with more than their broken marriages."
99,2009,Egypt,3.75,477,"The film discusses in a social drama, the loss of the original values in the Egyptian family, and the consequences of their departure, through the story of Shehata (Amr Saad) who grew up over his brothers' neglect of him, their control over him, and their bad treatment of him, despite his intense love for them, and how the burning jealousy led Between them, a tragedy."
100,2009,Egypt,3.7,587,"The events of the film take place in a comic form, after the marriage of (Omar and Salma) and the birth of twins, and the suffering of the two in raising them, as problems arise between them due to (Salma) neglecting herself and (Omar), who returns again to his love and his multiple relationships."
101,1971,Egypt,4.3,153,"Anis Zaki is an employee at the Ministry of Health, but he is always absent from awareness of the act of cannabis. He gets to know the actor Rajab Al-Qadi, who in turn introduces him to the group with which he spends most of his time in one of the buoys overlooking the Nile. The pain of reality."
102,1985,Egypt,4.25,161,"Attia (Yahya Al-Fakharani) works as a simple employee in a government agency, after his mother-in-law threatens him to end his engagement to her daughter for being late in providing the marital nest, he decides to take leave from his work, and travels to his hometown to sell his inheritance from his father, and there he falls in love with charity (Laila Elwi Daughter of Kamal Bey (Farid Shawqi) from whom he bought the land, and with time he loves the quietness of the countryside, its simplicity, and its distance from the hustle and bustle of the city."
103,1986,Egypt,4.3,151,"A plane crashes with its passengers near an oasis in the desert, and because the oasis is located in an isolated area, the plane's passengers are trying to adapt to the new situation, and Nabih Bey tries to take advantage of the new situation, and he controls the oasis and establishes himself as its ruler and calls it (Nabalia) after his name, but his plan is disturbed The stiff resistance he faces from the rest of the passengers, led by the revolutionary artist, Adel Sidky."
104,1985,Egypt,4.2,172,"(Wael) is a student in the field of psychiatry during the day and works in a night club in the evening. He gets to know the hospital where he is training for (Salwa), which he is attracted to and falls in love with, and he feels that there is a big story behind her hospitalization, and he tries to help her despite all the obstacles that he faces."
105,2010,Egypt,3.75,446,"Mahmoud Shuaib, a rich businessman, whose sons covet his wealth, so they file a lawsuit before the court to quarantine his money on the pretext that he suffers from Alzheimer's, and appoint them as his guardians, but his nurse turns the events of the movie upside down."
106,2017,Egypt,3.8,376,"A murder occurs in which a businessman named Yahya Zakaria (Muhammad Farraj) is killed, and four people are accused, namely Adham (Ahmed Al-Sakka), Mustafa (Amir Karara), Yusef (Mustafa Khater) and Nada (Ghada Adel), and events begin to escalate as the four of them try to join together from In order to prove their innocence of the charge against them."
